Species,Family,Order,DR,Insularity,MigratoryBehavior,DietBreadth,HabitatBreadth,BodySize,BrainSize,BrainSampleSize,RelativeBrainSize,BrainSD,BrainReference
Abroscopus_albogularis,Sylviidae,PASSERIFORMES,0.112,continental,resident,0,1.672,5,0.32,5,0.251,0.093,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Acanthagenys_rufogularis,Meliphagidae,PASSERIFORMES,0.097,continental,resident,0.147,3.523,47.8,1.16,8,0.273,0.059,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Acanthiza_chrysorrhoa,Acanthizidae,PASSERIFORMES,0.082,continental,resident,0.155,4.802,9.4,0.43,5,0.192,0.087,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Acanthiza_ewingii,Acanthizidae,PASSERIFORMES,0.127,continental,resident,0.175,4.683,4,0.63,1,1.053,0.071,"Sayol, F., Maspons, J., Lapiedra, O., Iwaniuk, A. N., Székely, T., & Sol, D. (2016). Environmental variation and the evolution of large brains in birds. Nature communications, 7, 13971."
Acanthiza_inornata,Acanthizidae,PASSERIFORMES,0.145,continental,resident,0.109,3.499,8.5,0.44,1,0.272,0.071,"Sayol, F., Maspons, J., Lapiedra, O., Iwaniuk, A. N., Székely, T., & Sol, D. (2016). Environmental variation and the evolution of large brains in birds. Nature communications, 7, 13971."
Acanthiza_lineata,Acanthizidae,PASSERIFORMES,0.073,continental,resident,0.09,4.873,6.7,0.51,5,0.553,0.109,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Acanthiza_nana,Acanthizidae,PASSERIFORMES,0.119,continental,resident,0.155,4.845,7.25,0.37,2,0.188,0.071,"Sayol, F., Maspons, J., Lapiedra, O., Iwaniuk, A. N., Székely, T., & Sol, D. (2016). Environmental variation and the evolution of large brains in birds. Nature communications, 7, 13971."
Acanthiza_pusilla,Acanthizidae,PASSERIFORMES,0.204,continental,resident,0.099,4.732,8.15,0.45,6,0.318,0.13,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Acanthiza_reguloides,Acanthizidae,PASSERIFORMES,0.145,continental,resident,0.244,3.191,7.5,0.39,2,0.221,0.052,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Acanthiza_uropygialis,Acanthizidae,PASSERIFORMES,0.117,continental,resident,0.155,3.814,6.4,0.36,7,0.23,0.072,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Acanthorhynchus_tenuirostris,Meliphagidae,PASSERIFORMES,0.057,continental,resident,0.123,4.575,10.5,0.48,9,0.24,0.196,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Accipiter_cirrocephalus,Accipitridae,ACCIPITRIFORMES,0.117,continental,resident,0.006,4.361,172,2.39,11,0.277,0.115,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Accipiter_cooperii,Accipitridae,ACCIPITRIFORMES,0.151,continental,migrant,0.002,3.828,439,4.7,8,0.428,0.144,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Accipiter_fasciatus,Accipitridae,ACCIPITRIFORMES,0.124,continental,resident,0.008,4.162,380.25,4.5,11,0.465,0.055,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Accipiter_gentilis,Accipitridae,ACCIPITRIFORMES,0.094,continental,migrant,0.004,3.177,901.67,7.88,21,0.541,0.045,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Accipiter_haplochrous,Accipitridae,ACCIPITRIFORMES,0.126,insular,resident,0.008,3,204.5,3.91,7,0.673,0.067,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Accipiter_novaehollandiae,Accipitridae,ACCIPITRIFORMES,0.153,continental,resident,0.008,2.554,558.08,4.74,6,0.302,0.101,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Accipiter_striatus,Accipitridae,ACCIPITRIFORMES,0.147,continental,migrant,0.002,4.517,135.73,2.23,20,0.341,0.08,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Aceros_cassidix,Bucerotidae,BUCEROTIFORMES,0.081,insular,resident,0.068,1.976,2360,18.19,4,0.838,0.057,"Fristoe, T. S., Iwaniuk, A. N., & Botero, C. A. (2017). Big brains stabilize populations and facilitate colonization of variable habitats in birds. Nature ecology & evolution, 1(11), 1706."
Aceros_leucocephalus,Bucerotidae,BUCEROTIFORMES,0.072,insular,resident,0.063,1,1086,12.81,3,0.923,0.085,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Aceros_plicatus,Bucerotidae,BUCEROTIFORMES,0.127,continental,resident,0.102,2.49,1706.5,15.42,6,0.855,0.065,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Aceros_undulatus,Bucerotidae,BUCEROTIFORMES,0.126,continental,resident,0.08,1.47,2343.75,18.25,3,0.846,0.082,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Acridotheres_tristis,Sturnidae,PASSERIFORMES,0.346,continental,resident,0.084,4.12,118.25,2.48,6,0.525,0.108,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Acrocephalus_arundinaceus,Sylviidae,PASSERIFORMES,0.202,continental,migrant,0.027,4.942,26.75,0.91,10,0.355,0.068,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Acrocephalus_schoenobaenus,Sylviidae,PASSERIFORMES,0.145,continental,migrant,0.081,4.292,10.8,0.45,7,0.16,0.04,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Acryllium_vulturinum,Numididae,GALLIFORMES,0.033,continental,resident,0.154,2.931,1330,4.55,4,-0.226,0.067,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Actitis_hypoleucos,Scolopacidae,CHARADRIIFORMES,0.045,continental,migrant,0.041,8.739,48,0.86,5,-0.029,0.025,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Actitis_macularius,Scolopacidae,CHARADRIIFORMES,0.045,continental,migrant,0.005,4.961,48.24,0.68,8,-0.267,0.048,"Sayol, F., Downing, P. A., Iwaniuk, A. N., Maspons, J., & Sol, D. 2018. Predictable evolution towards larger brains in birds colonizing oceanic islands. Nature communications, 9(1), 2820."
Aechmophorus_occidentalis,Podicipedidae,PODICIPEDIFORMES,0.052,continental,migrant,0.013,0.998,1147.72,3.71,10,-0.347,0.101,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Aegithalos_concinnus,Aegithalidae,PASSERIFORMES,0.106,continental,resident,0.073,3.589,6.1,0.37,2,0.284,0.077,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Aegithina_tiphia,Aegithinidae,PASSERIFORMES,0.08,continental,resident,0,3.678,12,0.67,10,0.499,0.041,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Aegolius_acadicus,Strigidae,STRIGIFORMES,0.066,continental,migrant,0.003,4.492,73.12,3.36,9,1.098,0.11,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Aegolius_funereus,Strigidae,STRIGIFORMES,0.039,continental,resident,0.003,2.519,91.17,4.02,6,1.153,0.132,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Aegotheles_cristatus,Aegothelidae,APODIFORMES,0.038,continental,resident,0,3.476,42.8,1.42,8,0.537,0.053,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Aegypius_monachus,Accipitridae,ACCIPITRIFORMES,0.111,continental,migrant,0.003,3.227,9625,28.25,1,0.49,0.071,"Sayol, F., Downing, P. A., Iwaniuk, A. N., Maspons, J., & Sol, D. 2018. Predictable evolution towards larger brains in birds colonizing oceanic islands. Nature communications, 9(1), 2820."
Aeronautes_saxatalis,Apodidae,APODIFORMES,0.078,continental,migrant,0,3.611,31.2,0.67,9,-0.037,0.044,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Aethia_cristatella,Alcidae,CHARADRIIFORMES,0.134,continental,migrant,0.005,3.006,259.5,2.47,9,0.08,0.056,"Fristoe, T. S., Iwaniuk, A. N., & Botero, C. A. (2017). Big brains stabilize populations and facilitate colonization of variable habitats in birds. Nature ecology & evolution, 1(11), 1706."
Aethia_psittacula,Alcidae,CHARADRIIFORMES,0.214,continental,migrant,0.011,1.728,270,2.55,3,0.089,0.02,"Sayol, F., Downing, P. A., Iwaniuk, A. N., Maspons, J., & Sol, D. 2018. Predictable evolution towards larger brains in birds colonizing oceanic islands. Nature communications, 9(1), 2820."
Aethia_pusilla,Alcidae,CHARADRIIFORMES,0.183,continental,migrant,0,1.728,84.6,1.48,10,0.196,0.042,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Aethopyga_nipalensis,Nectariniidae,PASSERIFORMES,0.112,continental,resident,0.123,3.385,6,0.33,2,0.179,0.053,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Agapornis_canus,Psittacidae,PSITTACIFORMES,0.05,continental,resident,0.169,3.511,26.5,1.15,7,0.595,0.051,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Agapornis_fischeri,Psittacidae,PSITTACIFORMES,0.132,continental,resident,0.169,2.203,48.3,1.95,7,0.786,0.04,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Agapornis_lilianae,Psittacidae,PSITTACIFORMES,0.399,continental,resident,0.136,2.73,37.3,1.53,8,0.689,0.062,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Agapornis_nigrigenis,Psittacidae,PSITTACIFORMES,0.399,continental,resident,0.037,2.666,40.5,1.9,1,0.859,0.071,"Iwaniuk, A. N., Dean, K. M., & Nelson, J. E. (2005). Interspecific allometry of the brain and brain regions in parrots (Psittaciformes): comparisons with other birds and primates. Brain, Behavior and Evolution, 65(1), 40-59."
Agapornis_personatus,Psittacidae,PSITTACIFORMES,0.225,continental,resident,0,0.999,52.5,1.87,9,0.698,0.044,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Agapornis_pullarius,Psittacidae,PSITTACIFORMES,0.064,continental,resident,0.169,2.819,39.3,1.44,8,0.599,0.041,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Agapornis_roseicollis,Psittacidae,PSITTACIFORMES,0.07,continental,resident,0.113,2.209,54.5,1.86,9,0.671,0.054,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Agapornis_swindernianus,Psittacidae,PSITTACIFORMES,0.091,continental,resident,NA,1.47,40,1.53,2,0.649,0.023,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Agapornis_taranta,Psittacidae,PSITTACIFORMES,0.066,continental,resident,0.169,3.006,57.5,1.98,4,0.704,0.085,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Agelaioides_badius,Icteridae,PASSERIFORMES,0.206,continental,resident,0,3.289,45.3,1.48,5,0.546,0.04,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Agelaius_phoeniceus,Icteridae,PASSERIFORMES,0.207,continental,migrant,0.175,2.206,65.49,1.69,10,0.472,0.145,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Ailuroedus_crassirostris,Ptilonorhynchidae,PASSERIFORMES,0.041,continental,resident,0.058,2.643,205.5,4.01,8,0.695,0.105,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Ailuroedus_melanotis,Ptilonorhynchidae,PASSERIFORMES,0.042,continental,resident,0.074,1.981,165,4.4,1,0.911,0.071,"Sayol, F., Downing, P. A., Iwaniuk, A. N., Maspons, J., & Sol, D. 2018. Predictable evolution towards larger brains in birds colonizing oceanic islands. Nature communications, 9(1), 2820."
Aimophila_cassinii,Emberizidae,PASSERIFORMES,0.19,continental,migrant,0.175,NA,18.9,0.78,4,0.396,0.081,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Aix_galericulata,Anatidae,ANSERIFORMES,0.178,continental,migrant,0.157,2.884,570,4.22,8,0.174,0.029,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Aix_sponsa,Anatidae,ANSERIFORMES,0.178,continental,migrant,0.136,2.884,658,4.25,10,0.101,0.08,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Alauda_arvensis,Alaudidae,PASSERIFORMES,0.177,continental,migrant,0.174,6.976,37.48,0.96,8,0.22,0.087,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Alca_torda,Alcidae,CHARADRIIFORMES,0.095,continental,migrant,NA,1.728,719,5.38,10,0.287,0.032,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Alcedo_atthis,Alcedinidae,CORACIIFORMES,0.146,continental,migrant,0.037,7.643,28.3,0.74,10,0.117,0.045,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Alcedo_azurea,Alcedinidae,CORACIIFORMES,0.195,continental,resident,0.02,9.585,34.6,0.98,9,0.285,0.078,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Alcedo_cristata,Alcedinidae,CORACIIFORMES,0.131,continental,resident,0.029,11.21,15.7,0.54,1,0.132,0.071,"Sayol, F., Downing, P. A., Iwaniuk, A. N., Maspons, J., & Sol, D. 2018. Predictable evolution towards larger brains in birds colonizing oceanic islands. Nature communications, 9(1), 2820."
Alcippe_nipalensis,Timaliidae,PASSERIFORMES,0.153,continental,resident,0.118,2.084,15.8,0.93,5,0.672,0.122,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Alectoris_chukar,Phasianidae,GALLIFORMES,0.292,continental,resident,0.156,1.836,503.5,2.48,10,-0.288,0.034,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Alectroenas_pulcherrima,Columbidae,COLUMBIFORMES,0.146,continental,resident,0.169,1.47,165,1.55,1,-0.132,0.071,"Sayol, F., Downing, P. A., Iwaniuk, A. N., Maspons, J., & Sol, D. 2018. Predictable evolution towards larger brains in birds colonizing oceanic islands. Nature communications, 9(1), 2820."
Alectura_lathami,Megapodiidae,GALLIFORMES,0.047,continental,resident,0.15,3.449,2340,5.68,7,-0.321,0.079,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Alethe_diademata,Turdidae,PASSERIFORMES,0.063,continental,resident,0.003,1,31.2,1.04,3,0.403,0.03,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Alisterus_scapularis,Psittacidae,PSITTACIFORMES,0.137,continental,resident,0.154,4.3,232.5,4.48,16,0.737,0.115,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Alle_alle,Alcidae,CHARADRIIFORMES,0.096,continental,migrant,0.013,1.728,171,2.1,10,0.151,0.057,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Alophoixus_pallidus,Pycnonotidae,PASSERIFORMES,0.122,continental,resident,0.093,1.47,47,1.24,3,0.349,0.108,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Alopochen_aegyptiaca,Anatidae,ANSERIFORMES,0.161,continental,resident,0.132,2.823,1935.75,6.93,9,-0.016,0.111,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Amadina_fasciata,Estrildidae,PASSERIFORMES,0.149,continental,resident,0.175,1.968,15.4,0.59,8,0.232,0.063,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Amalocichla_incerta,Petroicidae,PASSERIFORMES,0.044,continental,resident,0,1.47,26.5,1.1,1,0.55,0.071,"Sayol, F., Downing, P. A., Iwaniuk, A. N., Maspons, J., & Sol, D. 2018. Predictable evolution towards larger brains in birds colonizing oceanic islands. Nature communications, 9(1), 2820."
Amandava_amandava,Estrildidae,PASSERIFORMES,0.099,continental,resident,0.058,3.756,9,0.38,10,0.093,0.063,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Amaurolimnas_concolor,Rallidae,GRUIFORMES,0.073,continental,resident,0.177,2.183,133,1.73,7,0.098,0.023,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Amaurornis_flavirostra,Rallidae,GRUIFORMES,0.085,continental,resident,0.139,5.396,89.5,1.47,9,0.158,0.044,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Amaurornis_olivacea,Rallidae,GRUIFORMES,0.087,insular,resident,NA,2.548,292,2.13,7,-0.135,0.035,"Iwaniuk, A. N., Nelson, J. E., James, H. F., & Olson, S. L. (2004). A comparative test of the correlated evolution of flightlessness and relative brain size in birds. Journal of Zoology, 263(3), 317-327."
Amaurornis_phoenicurus,Rallidae,GRUIFORMES,0.09,continental,migrant,0.069,6.268,212.5,2.34,10,0.138,0.073,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Amazilia_tzacatl,Trochilidae,APODIFORMES,0.27,continental,resident,0.123,3.564,5.28,0.22,4,-0.154,0.066,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Amazona_aestiva,Psittacidae,PSITTACIFORMES,0.29,continental,resident,0.136,2.565,400,8.24,4,1.042,0.115,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Amazona_albifrons,Psittacidae,PSITTACIFORMES,0.164,continental,resident,0.136,3.86,206,5.28,7,0.969,0.071,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Amazona_amazonica,Psittacidae,PSITTACIFORMES,0.155,continental,resident,NA,5.235,370,8.29,11,1.092,0.057,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Amazona_auropalliata,Psittacidae,PSITTACIFORMES,0.452,continental,resident,0.169,2.568,433,9.57,5,1.147,0.045,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Amazona_autumnalis,Psittacidae,PSITTACIFORMES,0.208,continental,resident,0.136,2.531,416,8.13,5,1.006,0.087,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Amazona_farinosa,Psittacidae,PSITTACIFORMES,0.115,continental,resident,0.162,1.871,626,10.14,10,0.998,0.076,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Amazona_leucocephala,Psittacidae,PSITTACIFORMES,0.341,continental,resident,0.162,3.745,235.5,5.63,8,0.958,0.105,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Amazona_ochrocephala,Psittacidae,PSITTACIFORMES,0.757,continental,resident,0.136,2.578,440,8.64,7,1.036,0.064,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Amazona_oratrix,Psittacidae,PSITTACIFORMES,0.757,continental,resident,0.136,3.171,517,8.62,7,0.943,0.049,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Amazona_ventralis,Psittacidae,PSITTACIFORMES,0.216,continental,resident,0.169,2.782,214,5.97,5,1.07,0.083,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Amazona_versicolor,Psittacidae,PSITTACIFORMES,0.298,insular,resident,0.169,1,676,9.6,1,0.9,0.071,"Iwaniuk, A. N., Dean, K. M., & Nelson, J. E. (2005). Interspecific allometry of the brain and brain regions in parrots (Psittaciformes): comparisons with other birds and primates. Brain, Behavior and Evolution, 65(1), 40-59."
Amazona_vinacea,Psittacidae,PSITTACIFORMES,0.163,continental,resident,0.024,1.944,315.53,7.46,3,1.075,0.15,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Amazona_viridigenalis,Psittacidae,PSITTACIFORMES,0.216,continental,resident,0.136,2.403,316,6.89,6,0.995,0.084,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Amazona_vittata,Psittacidae,PSITTACIFORMES,0.343,continental,resident,0.169,2.062,275,5.73,2,0.889,0.031,"Iwaniuk, A. N., Dean, K. M., & Nelson, J. E. (2005). Interspecific allometry of the brain and brain regions in parrots (Psittaciformes): comparisons with other birds and primates. Brain, Behavior and Evolution, 65(1), 40-59."
Amazonetta_brasiliensis,Anatidae,ANSERIFORMES,0.233,continental,resident,NA,3.771,590,3.9,3,0.076,0.212,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Amblycercus_holosericeus,Icteridae,PASSERIFORMES,0.079,continental,resident,0.064,1.47,66.92,2.21,7,0.729,0.054,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
